Potential applied (V);Time (s);WE(1).Current (A);WE(1).Potential (V);Index;Current range
0.01007080078125;2142.00222559196;-4.2425537109375E-06;0.0104736328125;1;1 µA
0.0201416015625;2142.10293359171;-3.8482666015625E-06;0.02056884765625;2;1 µA
0.03021240234375;2142.20364159146;-3.57147216796875E-06;0.030657958984375;3;1 µA
0.040283203125;2142.3043495912;-3.32305908203125E-06;0.04073486328125;4;1 µA
0.05035400390625;2142.40505759095;-3.09417724609375E-06;0.05089111328125;5;1 µA
0.0604248046875;2142.50576559069;-2.8485107421875E-06;0.06048583984375;6;1 µA
0.07049560546875;2142.60647359044;-2.6025390625E-06;0.070587158203125;7;1 µA
0.08056640625;2142.70718159018;-2.3095703125E-06;0.080596923828125;8;1 µA
0.09063720703125;2142.80788958993;-1.96685791015625E-06;0.09075927734375;9;1 µA
0.1007080078125;2142.90859758968;-1.546630859375E-06;0.100982666015625;10;1 µA
0.11077880859375;2143.00930558942;-9.9151611328125E-07;0.111114501953125;11;1 µA
0.120849609375;2143.11001358917;-2.6580810546875E-07;0.121307373046875;12;1 µA
0.13092041015625;2143.21072158891;7.18994140625E-07;0.13153076171875;13;1 µA
0.1409912109375;2143.31142958866;2.04071044921875E-06;0.141815185546875;14;1 µA
0.15106201171875;2143.4121375884;3.8055419921875E-06;0.1522216796875;15;1 µA
0.1611328125;2143.51284558815;6.1865234375E-06;0.162750244140625;16;1 µA
0.17120361328125;2143.6135535879;9.564208984375E-06;0.171875;17;10 µA
0.1812744140625;2143.71426158764;1.43035888671875E-05;0.182098388671875;18;10 µA
0.19134521484375;2143.81496958739;2.05047607421875E-05;0.192230224609375;19;10 µA
0.201416015625;2143.91567758713;2.81707763671875E-05;0.202423095703125;20;10 µA
0.21148681640625;2144.01638558688;3.73260498046875E-05;0.212615966796875;21;10 µA
0.2215576171875;2144.11709358662;4.75860595703125E-05;0.222991943359375;22;10 µA
0.23162841796875;2144.21780158637;5.79254150390625E-05;0.23321533203125;23;10 µA
0.24169921875;2144.31850958612;6.6888427734375E-05;0.243377685546875;24;10 µA
0.25177001953125;2144.41921758586;7.257080078125E-05;0.252410888671875;25;100 µA
0.2618408203125;2144.51992558561;7.3028564453125E-05;0.262451171875;26;100 µA
0.27191162109375;2144.62063358535;6.878662109375E-05;0.272613525390625;27;100 µA
0.281982421875;2144.7213415851;6.1614990234375E-05;0.2825927734375;28;100 µA
0.29205322265625;2144.82204958485;5.4656982421875E-05;0.292724609375;29;100 µA
0.3021240234375;2144.92275758459;4.8828125E-05;0.30279541015625;30;100 µA
0.31219482421875;2145.02346558434;4.44549560546875E-05;0.31298828125;31;100 µA
0.322265625;2145.12417358408;4.11376953125E-05;0.32305908203125;32;100 µA
0.33233642578125;2145.22488158383;3.88214111328125E-05;0.33294677734375;33;100 µA
0.3424072265625;2145.32558958357;3.73291015625E-05;0.343170166015625;34;100 µA
0.35247802734375;2145.42629758332;3.63983154296875E-05;0.353973388671875;35;10 µA
0.362548828125;2145.52700558307;3.6248779296875E-05;0.36376953125;36;10 µA
0.37261962890625;2145.62771358281;3.670654296875E-05;0.37396240234375;37;10 µA
0.3826904296875;2145.72842158256;3.7860107421875E-05;0.384002685546875;38;10 µA
0.39276123046875;2145.8291295823;3.9599609375E-05;0.394195556640625;39;10 µA
0.40283203125;2145.92983758205;4.19708251953125E-05;0.404205322265625;40;10 µA
0.41290283203125;2146.03054558179;4.47967529296875E-05;0.414276123046875;41;10 µA
0.4229736328125;2146.13125358154;4.8223876953125E-05;0.424468994140625;42;10 µA
0.43304443359375;2146.23196158129;5.21942138671875E-05;0.434600830078125;43;10 µA
0.443115234375;2146.33266958103;5.7208251953125E-05;0.44488525390625;44;10 µA
0.45318603515625;2146.43337758078;6.2835693359375E-05;0.4549560546875;45;10 µA
0.4632568359375;2146.53408558052;6.9183349609375E-05;0.464141845703125;46;100 µA
0.47332763671875;2146.63479358027;7.60498046875E-05;0.47406005859375;47;100 µA
0.4833984375;2146.73550158001;8.3526611328125E-05;0.48419189453125;48;100 µA
0.49346923828125;2146.83620957976;9.1827392578125E-05;0.49444580078125;49;100 µA
0.5035400390625;2146.93691757951;0.000100372314453125;0.504425048828125;50;100 µA
0.51361083984375;2147.03762557925;0.000108642578125;0.5145263671875;51;100 µA
0.523681640625;2147.138333579;0.000117156982421875;0.524566650390625;52;100 µA
0.53375244140625;2147.23904157874;0.000125701904296875;0.534698486328125;53;100 µA
0.5438232421875;2147.33974957849;0.00013409423828125;0.544769287109375;54;100 µA
0.55389404296875;2147.44045757823;0.000142333984375;0.55487060546875;55;100 µA
0.56396484375;2147.54116557798;0.00015118408203125;0.56494140625;56;100 µA
0.57403564453125;2147.64187357773;0.000159637451171875;0.57501220703125;57;100 µA
0.5841064453125;2147.74258157747;0.000168121337890625;0.585113525390625;58;100 µA
0.59417724609375;2147.84328957722;0.000176177978515625;0.59521484375;59;100 µA
0.604248046875;2147.94399757696;0.00018511962890625;0.605377197265625;60;100 µA
0.61431884765625;2148.04470557671;0.000194854736328125;0.61541748046875;61;100 µA
0.6243896484375;2148.14541357645;0.00020635986328125;0.625579833984375;62;100 µA
0.63446044921875;2148.2461215762;0.000220062255859375;0.635589599609375;63;100 µA
0.64453125;2148.34682957595;0.0002379150390625;0.645721435546875;64;100 µA
0.65460205078125;2148.44753757569;0.00026025390625;0.655975341796875;65;100 µA
0.6646728515625;2148.54824557544;0.00028790283203125;0.665985107421875;66;100 µA
0.67474365234375;2148.64895357518;0.000321136474609375;0.6761474609375;67;100 µA
0.684814453125;2148.74966157493;0.000359588623046875;0.686279296875;68;100 µA
0.69488525390625;2148.85036957467;0.00040228271484375;0.696441650390625;69;100 µA
0.7049560546875;2148.95107757442;0.000448272705078125;0.70660400390625;70;100 µA
0.71502685546875;2149.05178557417;0.000497802734375;0.71673583984375;71;100 µA
0.72509765625;2149.15249357391;0.00055035400390625;0.7269287109375;72;100 µA
0.73516845703125;2149.25320157366;0.000605499267578125;0.737060546875;73;100 µA
0.7452392578125;2149.3539095734;0.000662841796875;0.7462158203125;74;1 mA
0.75531005859375;2149.45461757315;0.00072235107421875;0.75531005859375;75;1 mA
0.765380859375;2149.55532557289;0.000782470703125;0.765380859375;76;1 mA
0.77545166015625;2149.65603357264;0.0008428955078125;0.775146484375;77;1 mA
0.7855224609375;2149.75674157239;0.00090484619140625;0.78521728515625;78;1 mA
0.79559326171875;2149.85744957213;0.0009686279296875;0.7958984375;79;1 mA
0.8056640625;2149.95815757188;0.00103302001953125;0.80596923828125;80;1 mA
0.81573486328125;2150.05886557162;0.00109619140625;0.81573486328125;81;1 mA
0.8258056640625;2150.15957357137;0.001160888671875;0.8258056640625;82;1 mA
0.83587646484375;2150.26028157111;0.00122772216796875;0.8355712890625;83;1 mA
0.845947265625;2150.36098957086;0.00129669189453125;0.8453369140625;84;1 mA
0.85601806640625;2150.46169757061;0.00136749267578125;0.85601806640625;85;1 mA
0.8660888671875;2150.56240557035;0.00144012451171875;0.86639404296875;86;1 mA
0.87615966796875;2150.6631135701;0.0015118408203125;0.87646484375;87;1 mA
0.88623046875;2150.76382156984;0.00158050537109375;0.88592529296875;88;1 mA
0.89630126953125;2150.86452956959;0.0016510009765625;0.8966064453125;89;1 mA
0.9063720703125;2150.96523756933;0.0017242431640625;0.90667724609375;90;1 mA
0.91644287109375;2151.06594556908;0.00179718017578125;0.9161376953125;91;1 mA
0.926513671875;2151.16665356883;0.0018701171875;0.92681884765625;92;1 mA
0.93658447265625;2151.26736156857;0.0019464111328125;0.936279296875;93;1 mA
0.9466552734375;2151.36806956832;0.0020184326171875;0.9466552734375;94;1 mA
0.95672607421875;2151.46877756806;0.0020916748046875;0.9564208984375;95;1 mA
0.966796875;2151.56948556781;0.00216583251953125;0.966796875;96;1 mA
0.97686767578125;2151.67019356756;0.002242431640625;0.9765625;97;1 mA
0.9869384765625;2151.7709015673;0.00232147216796875;0.98724365234375;98;1 mA
0.99700927734375;2151.87160956705;0.00240020751953125;0.99700927734375;99;1 mA
1.007080078125;2151.97231756679;0.0024786376953125;1.00738525390625;100;1 mA
1.01715087890625;2152.07302556654;0.0025537109375;1.0174560546875;101;1 mA
1.0272216796875;2152.17373356628;0.00262664794921875;1.0272216796875;102;1 mA
1.03729248046875;2152.27444156603;0.0027008056640625;1.03729248046875;103;1 mA
1.04736328125;2152.37514956578;0.0027764892578125;1.04736328125;104;1 mA
1.05743408203125;2152.47585756552;0.00285797119140625;1.0577392578125;105;1 mA
1.0675048828125;2152.57656556527;0.00293487548828125;1.06781005859375;106;1 mA
1.07757568359375;2152.67727356501;0.00301025390625;1.07757568359375;107;1 mA
1.087646484375;2152.77798156476;0.0030828857421875;1.08856201171875;108;1 mA
1.09771728515625;2152.8786895645;0.00316162109375;1.09771728515625;109;1 mA
1.1077880859375;2152.97939756425;0.00324951171875;1.10748291015625;110;1 mA
1.11785888671875;2153.080105564;0.00333221435546875;1.11785888671875;111;1 mA
1.1279296875;2153.18081356374;0.00340667724609375;1.1273193359375;112;1 mA
1.13800048828125;2153.28152156349;0.0034771728515625;1.1383056640625;113;1 mA
1.1480712890625;2153.38222956323;0.00355743408203125;1.148681640625;114;1 mA
1.15814208984375;2153.48293756298;0.0036383056640625;1.15814208984375;115;1 mA
1.168212890625;2153.58364556272;0.00371917724609375;1.168212890625;116;1 mA
1.17828369140625;2153.68435356247;0.00379913330078125;1.17889404296875;117;1 mA
1.1883544921875;2153.78506156222;0.003875732421875;1.18865966796875;118;1 mA
1.19842529296875;2153.88576956196;0.00394866943359375;1.19903564453125;119;1 mA
1.20849609375;2153.98647756171;0.0040252685546875;1.20880126953125;120;1 mA
