Potential applied (V);Time (s);WE(1).Current (A);WE(1).Potential (V);Index;Current range
0.01007080078125;2215.86585240548;-3.8885498046875E-06;0.010504150390625;1;1 µA
0.0201416015625;2215.96656040522;-3.51165771484375E-06;0.0205963134765625;2;1 µA
0.03021240234375;2216.06726840497;-3.27178955078125E-06;0.0306732177734375;3;1 µA
0.040283203125;2216.16797640471;-3.01177978515625E-06;0.0407440185546875;4;1 µA
0.05035400390625;2216.26868440446;-2.7978515625E-06;0.0508697509765625;5;1 µA
0.0604248046875;2216.36939240421;-2.5885009765625E-06;0.060516357421875;6;1 µA
0.07049560546875;2216.47010040395;-2.33612060546875E-06;0.07061767578125;7;1 µA
0.08056640625;2216.5708084037;-2.05322265625E-06;0.080657958984375;8;1 µA
0.09063720703125;2216.67151640344;-1.6961669921875E-06;0.0908203125;9;1 µA
0.1007080078125;2216.77222440319;-1.31011962890625E-06;0.10101318359375;10;1 µA
0.11077880859375;2216.87293240293;-7.965087890625E-07;0.111114501953125;11;1 µA
0.120849609375;2216.97364040268;-1.1077880859375E-07;0.121337890625;12;1 µA
0.13092041015625;2217.07434840243;7.763671875E-07;0.13153076171875;13;1 µA
0.1409912109375;2217.17505640217;1.98394775390625E-06;0.141876220703125;14;1 µA
0.15106201171875;2217.27576440192;3.597412109375E-06;0.152099609375;15;1 µA
0.1611328125;2217.37647240166;5.7415771484375E-06;0.162689208984375;16;1 µA
0.17120361328125;2217.47718040141;8.86749267578125E-06;0.173248291015625;17;1 µA
0.1812744140625;2217.57788840115;1.3287353515625E-05;0.182037353515625;18;10 µA
0.19134521484375;2217.6785964009;1.91864013671875E-05;0.1922607421875;19;10 µA
0.201416015625;2217.77930440065;2.6666259765625E-05;0.202423095703125;20;10 µA
0.21148681640625;2217.88001240039;3.585205078125E-05;0.212615966796875;21;10 µA
0.2215576171875;2217.98072040014;4.6112060546875E-05;0.22296142578125;22;10 µA
0.23162841796875;2218.08142839988;5.65032958984375E-05;0.233123779296875;23;10 µA
0.24169921875;2218.18213639963;6.47186279296875E-05;0.243408203125;24;10 µA
