Time (s);WE(1).Potential (V);Corrected time (s);Index;WE(1).Current (A);Current range
1.29733299672455;-0.93505859375;0;1;-0.000499725341796875;1 mA
2.29733299419979;-0.92498779296875;0.999999997475243;2;-0.000499786376953125;1 mA
3.29733299167503;-0.91888427734375;1.99999999495049;3;-0.00049981689453125;1 mA
4.29733298915028;-0.9149169921875;2.99999999242573;4;-0.00049981689453125;1 mA
5.29733298662552;-0.9112548828125;3.99999998990097;5;-0.00049981689453125;1 mA
6.29733298410076;-0.908203125;4.99999998737621;6;-0.00049981689453125;1 mA
7.29733298157601;-0.90576171875;5.99999998485146;7;-0.00049981689453125;1 mA
8.29733297905125;-0.90362548828125;6.9999999823267;8;-0.000499786376953125;1 mA
9.29733297652649;-0.90179443359375;7.99999997980194;9;-0.00049981689453125;1 mA
10.2973329740017;-0.9002685546875;8.99999997727718;10;-0.000499847412109375;1 mA
11.297332971477;-0.89874267578125;9.99999997475243;11;-0.00049981689453125;1 mA
12.2973329689522;-0.897216796875;10.9999999722277;12;-0.00049981689453125;1 mA
13.2973329664275;-0.89599609375;11.9999999697029;13;-0.00049981689453125;1 mA
14.2973329639027;-0.894775390625;12.9999999671782;14;-0.0004998779296875;1 mA
15.2973329613779;-0.8935546875;13.9999999646534;15;-0.0004998779296875;1 mA
16.2973329588532;-0.892333984375;14.9999999621286;16;-0.000499786376953125;1 mA
17.2973329563284;-0.89141845703125;15.9999999596039;17;-0.0004998779296875;1 mA
18.2973329538037;-0.89019775390625;16.9999999570791;18;-0.000499847412109375;1 mA
19.2973329512789;-0.8892822265625;17.9999999545544;19;-0.000499755859375;1 mA
20.2973329487542;-0.88836669921875;18.9999999520296;20;-0.00049981689453125;1 mA
21.2973329462294;-0.887451171875;19.9999999495049;21;-0.000499786376953125;1 mA
22.2973329437046;-0.88623046875;20.9999999469801;22;-0.000499847412109375;1 mA
23.2973329411799;-0.88531494140625;21.9999999444553;23;-0.0004998779296875;1 mA
24.2973329386551;-0.8843994140625;22.9999999419306;24;-0.000499755859375;1 mA
25.2973329361304;-0.88348388671875;23.9999999394058;25;-0.0004998779296875;1 mA
26.2973329336056;-0.882568359375;24.9999999368811;26;-0.000499847412109375;1 mA
27.2973329310809;-0.8819580078125;25.9999999343563;27;-0.000499786376953125;1 mA
28.2973329285561;-0.88104248046875;26.9999999318316;28;-0.000499786376953125;1 mA
29.2973329260313;-0.880126953125;27.9999999293068;29;-0.000499847412109375;1 mA
30.2973329235066;-0.87921142578125;28.999999926782;30;-0.00049981689453125;1 mA
31.2973329209818;-0.87860107421875;29.9999999242573;31;-0.000499786376953125;1 mA
32.2973329184571;-0.877685546875;30.9999999217325;32;-0.00049981689453125;1 mA
33.2973329159323;-0.8770751953125;31.9999999192078;33;-0.0004998779296875;1 mA
34.2973329134076;-0.87615966796875;32.999999916683;34;-0.000499786376953125;1 mA
35.2973329108828;-0.87554931640625;33.9999999141583;35;-0.000499847412109375;1 mA
36.297332908358;-0.8746337890625;34.9999999116335;36;-0.0004998779296875;1 mA
37.2973329058333;-0.8740234375;35.9999999091087;37;-0.000499786376953125;1 mA
38.2973329033085;-0.87310791015625;36.999999906584;38;-0.000499847412109375;1 mA
39.2973329007838;-0.87249755859375;37.9999999040592;39;-0.00049981689453125;1 mA
40.297332898259;-0.87188720703125;38.9999999015345;40;-0.00049981689453125;1 mA
41.2973328957343;-0.87127685546875;39.9999998990097;41;-0.000499847412109375;1 mA
42.2973328932095;-0.87066650390625;40.999999896485;42;-0.00049981689453125;1 mA
43.2973328906847;-0.8697509765625;41.9999998939602;43;-0.000499786376953125;1 mA
44.29733288816;-0.869140625;42.9999998914354;44;-0.00049981689453125;1 mA
45.2973328856352;-0.8685302734375;43.9999998889107;45;-0.000499847412109375;1 mA
46.2973328831105;-0.867919921875;44.9999998863859;46;-0.0004998779296875;1 mA
47.2973328805857;-0.8673095703125;45.9999998838612;47;-0.000499847412109375;1 mA
48.297332878061;-0.86669921875;46.9999998813364;48;-0.0004998779296875;1 mA
49.2973328755362;-0.86639404296875;47.9999998788117;49;-0.000499847412109375;1 mA
