Time (s);WE(1).Potential (V);Corrected time (s);Index;WE(1).Current (A);Current range
1.87334499527026;-0.96649169921875;0;1;-0.000499786376953125;1 mA
2.8733449927455;-0.96405029296875;0.999999997475243;2;-0.000499847412109375;1 mA
3.87334499022074;-0.96588134765625;1.99999999495049;3;-0.000499847412109375;1 mA
4.87334498769599;-0.96832275390625;2.99999999242573;4;-0.000499847412109375;1 mA
5.87334498517123;-0.9698486328125;3.99999998990097;5;-0.0004998779296875;1 mA
6.87334498264647;-0.9710693359375;4.99999998737621;6;-0.000499847412109375;1 mA
7.87334498012171;-0.97137451171875;5.99999998485146;7;-0.000499847412109375;1 mA
8.87334497759696;-0.97137451171875;6.9999999823267;8;-0.000499908447265625;1 mA
9.8733449750722;-0.9710693359375;7.99999997980194;9;-0.000499847412109375;1 mA
10.8733449725474;-0.97015380859375;8.99999997727718;10;-0.00049981689453125;1 mA
11.8733449700227;-0.96923828125;9.99999997475243;11;-0.000499847412109375;1 mA
12.8733449674979;-0.968017578125;10.9999999722277;12;-0.000499908447265625;1 mA
13.8733449649732;-0.966796875;11.9999999697029;13;-0.000499847412109375;1 mA
14.8733449624484;-0.96527099609375;12.9999999671782;14;-0.000499908447265625;1 mA
15.8733449599237;-0.9637451171875;13.9999999646534;15;-0.000499847412109375;1 mA
16.8733449573989;-0.96221923828125;14.9999999621286;16;-0.000499847412109375;1 mA
17.8733449548741;-0.960693359375;15.9999999596039;17;-0.0004998779296875;1 mA
18.8733449523494;-0.95916748046875;16.9999999570791;18;-0.0004998779296875;1 mA
19.8733449498246;-0.9576416015625;17.9999999545544;19;-0.0004998779296875;1 mA
20.8733449472999;-0.95611572265625;18.9999999520296;20;-0.000499847412109375;1 mA
21.8733449447751;-0.95458984375;19.9999999495049;21;-0.00049993896484375;1 mA
22.8733449422504;-0.95306396484375;20.9999999469801;22;-0.000499908447265625;1 mA
23.8733449397256;-0.9515380859375;21.9999999444553;23;-0.000499847412109375;1 mA
24.8733449372008;-0.9503173828125;22.9999999419306;24;-0.0004998779296875;1 mA
25.8733449346761;-0.94879150390625;23.9999999394058;25;-0.000499847412109375;1 mA
26.8733449321513;-0.947265625;24.9999999368811;26;-0.000499908447265625;1 mA
27.8733449296266;-0.94573974609375;25.9999999343563;27;-0.0004998779296875;1 mA
28.8733449271018;-0.94451904296875;26.9999999318316;28;-0.000499847412109375;1 mA
29.8733449245771;-0.9429931640625;27.9999999293068;29;-0.00049993896484375;1 mA
30.8733449220523;-0.9417724609375;28.999999926782;30;-0.0004998779296875;1 mA
31.8733449195275;-0.9405517578125;29.9999999242573;31;-0.00049993896484375;1 mA
32.8733449170028;-0.93902587890625;30.9999999217325;32;-0.00049993896484375;1 mA
33.873344914478;-0.93780517578125;31.9999999192078;33;-0.000499847412109375;1 mA
34.8733449119533;-0.9368896484375;32.999999916683;34;-0.0005;1 mA
35.8733449094285;-0.93536376953125;33.9999999141583;35;-0.000499908447265625;1 mA
36.8733449069038;-0.9344482421875;34.9999999116335;36;-0.00049981689453125;1 mA
37.873344904379;-0.9332275390625;35.9999999091087;37;-0.00049993896484375;1 mA
38.8733449018542;-0.9320068359375;36.999999906584;38;-0.000499847412109375;1 mA
39.8733448993295;-0.9307861328125;37.9999999040592;39;-0.00049993896484375;1 mA
40.8733448968047;-0.92987060546875;38.9999999015345;40;-0.000499908447265625;1 mA
41.87334489428;-0.92864990234375;39.9999998990097;41;-0.000499847412109375;1 mA
42.8733448917552;-0.92742919921875;40.999999896485;42;-0.0004998779296875;1 mA
43.8733448892305;-0.926513671875;41.9999998939602;43;-0.00049993896484375;1 mA
44.8733448867057;-0.92559814453125;42.9999998914354;44;-0.000499847412109375;1 mA
45.8733448841809;-0.9246826171875;43.9999998889107;45;-0.0004998779296875;1 mA
46.8733448816562;-0.9234619140625;44.9999998863859;46;-0.0005;1 mA
47.8733448791314;-0.92254638671875;45.9999998838612;47;-0.00049981689453125;1 mA
48.8733448766067;-0.921630859375;46.9999998813364;48;-0.00049993896484375;1 mA
49.8733448740819;-0.9210205078125;47.9999998788117;49;-0.000499908447265625;1 mA
50.8733448715572;-0.92010498046875;48.9999998762869;50;-0.000499847412109375;1 mA
51.8733448690324;-0.919189453125;49.9999998737621;51;-0.000499908447265625;1 mA
52.8733448665076;-0.91827392578125;50.9999998712374;52;-0.000499847412109375;1 mA
53.8733448639829;-0.91766357421875;51.9999998687126;53;-0.000499908447265625;1 mA
54.8733448614581;-0.916748046875;52.9999998661879;54;-0.00049993896484375;1 mA
55.8733448589334;-0.9161376953125;53.9999998636631;55;-0.00049993896484375;1 mA
56.8733448564086;-0.91552734375;54.9999998611383;56;-0.000499908447265625;1 mA
57.8733448538839;-0.9149169921875;55.9999998586136;57;-0.000499908447265625;1 mA
58.8733448513591;-0.91400146484375;56.9999998560888;58;-0.00049993896484375;1 mA
59.8733448488343;-0.91339111328125;57.9999998535641;59;-0.000499847412109375;1 mA
60.8733448463096;-0.91278076171875;58.9999998510393;60;-0.00049993896484375;1 mA
61.8733448437848;-0.91217041015625;59.9999998485146;61;-0.000499908447265625;1 mA
62.8733448412601;-0.91156005859375;60.9999998459898;62;-0.000499847412109375;1 mA
63.8733448387353;-0.9112548828125;61.999999843465;63;-0.000499847412109375;1 mA
64.8733448362105;-0.91064453125;62.9999998409403;64;-0.00049993896484375;1 mA
65.8733448336858;-0.9100341796875;63.9999998384155;65;-0.000499847412109375;1 mA
66.873344831161;-0.90972900390625;64.9999998358908;66;-0.000499847412109375;1 mA
