Potential applied (V);WE(1).Current (A);WE(1).Potential (V);Scan;Index;Q+;Q-;Current range
0.001068115234375;-1.466064453125E-06;0.00164794921875;1;1;0.000445217370521277;-0.00698617300903426;10 µA
0.00213623046875;-1.44378662109375E-06;0.002716064453125;1;2;0.000445217370521277;-0.00698617300903426;10 µA
0.003204345703125;-1.42364501953125E-06;0.003753662109375;1;3;0.000445217370521277;-0.00698617300903426;10 µA
0.0042724609375;-1.4056396484375E-06;0.00480041503906251;1;4;0.000445217370521277;-0.00698617300903426;10 µA
0.005340576171875;-1.39068603515625E-06;0.00592651367187499;1;5;0.000445217370521277;-0.00698617300903426;10 µA
0.00640869140625;-1.37786865234375E-06;0.00690612792968751;1;6;0.000445217370521277;-0.00698617300903426;10 µA
0.007476806640625;-1.36444091796875E-06;0.008056640625;1;7;0.000445217370521277;-0.00698617300903426;10 µA
0.008544921875;-1.351318359375E-06;0.009075927734375;1;8;0.000445217370521277;-0.00698617300903426;10 µA
0.009613037109375;-1.33880615234375E-06;0.010150146484375;1;9;0.000445217370521277;-0.00698617300903426;10 µA
0.01068115234375;-1.326904296875E-06;0.0112884521484375;1;10;0.000445217370521277;-0.00698617300903426;10 µA
0.011749267578125;-1.31439208984375E-06;0.01236572265625;1;11;0.000445217370521277;-0.00698617300903426;10 µA
0.0128173828125;-1.30157470703125E-06;0.0134124755859375;1;12;0.000445217370521277;-0.00698617300903426;10 µA
0.013885498046875;-1.2896728515625E-06;0.014453125;1;13;0.000445217370521277;-0.00698617300903426;10 µA
0.01495361328125;-1.280517578125E-06;0.015496826171875;1;14;0.000445217370521277;-0.00698617300903426;10 µA
0.016021728515625;-1.27044677734375E-06;0.01656494140625;1;15;0.000445217370521277;-0.00698617300903426;10 µA
0.01708984375;-1.26007080078125E-06;0.01768798828125;1;16;0.000445217370521277;-0.00698617300903426;10 µA
0.018157958984375;-1.24969482421875E-06;0.01873779296875;1;17;0.000445217370521277;-0.00698617300903426;10 µA
0.01922607421875;-1.2408447265625E-06;0.01978759765625;1;18;0.000445217370521277;-0.00698617300903426;10 µA
0.020294189453125;-1.23138427734375E-06;0.0209075927734375;1;19;0.000445217370521277;-0.00698617300903426;10 µA
0.0213623046875;-1.220703125E-06;0.0219818115234375;1;20;0.000445217370521277;-0.00698617300903426;10 µA
0.022430419921875;-1.2103271484375E-06;0.0230438232421875;1;21;0.000445217370521277;-0.00698617300903426;10 µA
0.02349853515625;-1.20208740234375E-06;0.024072265625;1;22;0.000445217370521277;-0.00698617300903426;10 µA
0.024566650390625;-1.19476318359375E-06;0.0251678466796875;1;23;0.000445217370521277;-0.00698617300903426;10 µA
0.025634765625;-1.18621826171875E-06;0.02623291015625;1;24;0.000445217370521277;-0.00698617300903426;10 µA
0.026702880859375;-1.17767333984375E-06;0.027288818359375;1;25;0.000445217370521277;-0.00698617300903426;10 µA
0.02777099609375;-1.16943359375E-06;0.0283294677734375;1;26;0.000445217370521277;-0.00698617300903426;10 µA
0.028839111328125;-1.162109375E-06;0.0294036865234375;1;27;0.000445217370521277;-0.00698617300903426;10 µA
0.0299072265625;-1.1529541015625E-06;0.030499267578125;1;28;0.000445217370521277;-0.00698617300903426;10 µA
0.030975341796875;-1.143798828125E-06;0.0315582275390625;1;29;0.000445217370521277;-0.00698617300903426;10 µA
0.03204345703125;-1.13525390625E-06;0.0326690673828125;1;30;0.000445217370521277;-0.00698617300903426;10 µA
0.033111572265625;-1.1285400390625E-06;0.0337432861328125;1;31;0.000445217370521277;-0.00698617300903426;10 µA
0.0341796875;-1.12152099609375E-06;0.034765625;1;32;0.000445217370521277;-0.00698617300903426;10 µA
0.035247802734375;-1.11419677734375E-06;0.03583984375;1;33;0.000445217370521277;-0.00698617300903426;10 µA
0.03631591796875;-1.10626220703125E-06;0.036932373046875;1;34;0.000445217370521277;-0.00698617300903426;10 µA
0.037384033203125;-1.0992431640625E-06;0.0380096435546875;1;35;0.000445217370521277;-0.00698617300903426;10 µA
0.0384521484375;-1.09222412109375E-06;0.0390838623046875;1;36;0.000445217370521277;-0.00698617300903426;10 µA
0.039520263671875;-1.08367919921875E-06;0.040106201171875;1;37;0.000445217370521277;-0.00698617300903426;10 µA
0.04058837890625;-1.07513427734375E-06;0.0412261962890625;1;38;0.000445217370521277;-0.00698617300903426;10 µA
0.041656494140625;-1.0687255859375E-06;0.0422332763671875;1;39;0.000445217370521277;-0.00698617300903426;10 µA
0.042724609375;-1.06292724609375E-06;0.043292236328125;1;40;0.000445217370521277;-0.00698617300903426;10 µA
0.043792724609375;-1.05621337890625E-06;0.044354248046875;1;41;0.000445217370521277;-0.00698617300903426;10 µA
0.04486083984375;-1.0491943359375E-06;0.045465087890625;1;42;0.000445217370521277;-0.00698617300903426;10 µA
0.045928955078125;-1.0418701171875E-06;0.0464996337890625;1;43;0.000445217370521277;-0.00698617300903426;10 µA
0.0469970703125;-1.0357666015625E-06;0.0475921630859375;1;44;0.000445217370521277;-0.00698617300903426;10 µA
0.048065185546875;-1.0284423828125E-06;0.0486724853515625;1;45;0.000445217370521277;-0.00698617300903426;10 µA
0.04913330078125;-1.0205078125E-06;0.0498077392578125;1;46;0.000445217370521277;-0.00698617300903426;10 µA
0.050201416015625;-1.01348876953125E-06;0.050750732421875;1;47;0.000445217370521277;-0.00698617300903426;10 µA
0.05126953125;-1.00860595703125E-06;0.0517578125;1;48;0.000445217370521277;-0.00698617300903426;10 µA
0.052337646484375;-1.0028076171875E-06;0.052886962890625;1;49;0.000445217370521277;-0.00698617300903426;10 µA
