Potential applied (V);WE(1).Current (A);WE(1).Potential (V);Scan;Index;Q+;Q-;Current range
0.001068115234375;-1.07696533203125E-05;0.0016021728515625;1;1;0.0493392764874734;-0.0144322701110505;10 µA
0.00213623046875;-9.881591796875E-06;0.00263671875;1;2;0.0493392764874734;-0.0144322701110505;10 µA
0.003204345703125;-9.26513671875E-06;0.00368652343750001;1;3;0.0493392764874734;-0.0144322701110505;10 µA
0.0042724609375;-8.7646484375E-06;0.00475463867187501;1;4;0.0493392764874734;-0.0144322701110505;10 µA
0.005340576171875;-8.343505859375E-06;0.00583801269531251;1;5;0.0493392764874734;-0.0144322701110505;10 µA
0.00640869140625;-7.9559326171875E-06;0.00693359374999999;1;6;0.0493392764874734;-0.0144322701110505;10 µA
0.007476806640625;-7.6202392578125E-06;0.0079620361328125;1;7;0.0493392764874734;-0.0144322701110505;10 µA
0.008544921875;-7.318115234375E-06;0.0090484619140625;1;8;0.0493392764874734;-0.0144322701110505;10 µA
0.009613037109375;-7.03125E-06;0.01011962890625;1;9;0.0493392764874734;-0.0144322701110505;10 µA
0.01068115234375;-6.7596435546875E-06;0.0112457275390625;1;10;0.0493392764874734;-0.0144322701110505;10 µA
0.011749267578125;-6.5155029296875E-06;0.012310791015625;1;11;0.0493392764874734;-0.0144322701110505;10 µA
0.0128173828125;-6.2835693359375E-06;0.0134033203125;1;12;0.0493392764874734;-0.0144322701110505;10 µA
0.013885498046875;-6.0546875E-06;0.0143829345703125;1;13;0.0493392764874734;-0.0144322701110505;10 µA
0.01495361328125;-5.853271484375E-06;0.015478515625;1;14;0.0493392764874734;-0.0144322701110505;10 µA
0.016021728515625;-5.6396484375E-06;0.0165374755859375;1;15;0.0493392764874734;-0.0144322701110505;10 µA
0.01708984375;-5.43212890625E-06;0.0176727294921875;1;16;0.0493392764874734;-0.0144322701110505;10 µA
0.018157958984375;-5.255126953125E-06;0.0187225341796875;1;17;0.0493392764874734;-0.0144322701110505;10 µA
0.01922607421875;-5.072021484375E-06;0.019781494140625;1;18;0.0493392764874734;-0.0144322701110505;10 µA
0.020294189453125;-4.8980712890625E-06;0.0208404541015625;1;19;0.0493392764874734;-0.0144322701110505;10 µA
0.0213623046875;-4.736328125E-06;0.0219207763671875;1;20;0.0493392764874734;-0.0144322701110505;10 µA
0.022430419921875;-4.58282470703125E-06;0.0229736328125;1;21;0.0493392764874734;-0.0144322701110505;10 µA
0.02349853515625;-4.42352294921875E-06;0.024072265625;1;22;0.0493392764874734;-0.0144322701110505;10 µA
0.024566650390625;-4.27001953125E-06;0.0251251220703125;1;23;0.0493392764874734;-0.0144322701110505;10 µA
0.025634765625;-4.1259765625E-06;0.0262176513671875;1;24;0.0493392764874734;-0.0144322701110505;10 µA
0.026702880859375;-3.98101806640625E-06;0.027264404296875;1;25;0.0493392764874734;-0.0144322701110505;10 µA
0.02777099609375;-3.84552001953125E-06;0.0282989501953125;1;26;0.0493392764874734;-0.0144322701110505;10 µA
0.028839111328125;-3.701171875E-06;0.0293914794921875;1;27;0.0493392764874734;-0.0144322701110505;10 µA
0.0299072265625;-3.5675048828125E-06;0.0305084228515625;1;28;0.0493392764874734;-0.0144322701110505;10 µA
0.030975341796875;-3.43902587890625E-06;0.031549072265625;1;29;0.0493392764874734;-0.0144322701110505;10 µA
0.03204345703125;-3.3135986328125E-06;0.0325836181640625;1;30;0.0493392764874734;-0.0144322701110505;10 µA
0.033111572265625;-3.18115234375E-06;0.0336761474609375;1;31;0.0493392764874734;-0.0144322701110505;10 µA
0.0341796875;-3.06640625E-06;0.034771728515625;1;32;0.0493392764874734;-0.0144322701110505;10 µA
0.035247802734375;-2.9498291015625E-06;0.0358367919921875;1;33;0.0493392764874734;-0.0144322701110505;10 µA
0.03631591796875;-2.8472900390625E-06;0.0368804931640625;1;34;0.0493392764874734;-0.0144322701110505;10 µA
0.037384033203125;-2.7264404296875E-06;0.0379150390625;1;35;0.0493392764874734;-0.0144322701110505;10 µA
0.0384521484375;-2.6092529296875E-06;0.039013671875;1;36;0.0493392764874734;-0.0144322701110505;10 µA
0.039520263671875;-2.498779296875E-06;0.040069580078125;1;37;0.0493392764874734;-0.0144322701110505;10 µA
0.04058837890625;-2.39227294921875E-06;0.041192626953125;1;38;0.0493392764874734;-0.0144322701110505;10 µA
0.041656494140625;-2.294921875E-06;0.0422210693359375;1;39;0.0493392764874734;-0.0144322701110505;10 µA
0.042724609375;-2.1881103515625E-06;0.0432952880859375;1;40;0.0493392764874734;-0.0144322701110505;10 µA
0.043792724609375;-2.091064453125E-06;0.0443450927734375;1;41;0.0493392764874734;-0.0144322701110505;10 µA
0.04486083984375;-1.9970703125E-06;0.0454254150390625;1;42;0.0493392764874734;-0.0144322701110505;10 µA
0.045928955078125;-1.9122314453125E-06;0.046533203125;1;43;0.0493392764874734;-0.0144322701110505;10 µA
0.0469970703125;-1.8194580078125E-06;0.047552490234375;1;44;0.0493392764874734;-0.0144322701110505;10 µA
0.048065185546875;-1.72271728515625E-06;0.048699951171875;1;45;0.0493392764874734;-0.0144322701110505;10 µA
0.04913330078125;-1.624755859375E-06;0.0497314453125;1;46;0.0493392764874734;-0.0144322701110505;10 µA
0.050201416015625;-1.53472900390625E-06;0.05072021484375;1;47;0.0493392764874734;-0.0144322701110505;10 µA
0.05126953125;-1.44378662109375E-06;0.051727294921875;1;48;0.0493392764874734;-0.0144322701110505;10 µA
0.052337646484375;-1.3592529296875E-06;0.05291748046875;1;49;0.0493392764874734;-0.0144322701110505;10 µA
