Potential applied (V);WE(1).Current (A);WE(1).Potential (V);Scan;Index;Q+;Q-;Current range
0.001068115234375;4.5965576171875E-05;0.001617431640625;1;1;0.113661773065571;-0.100219930319581;100 µA
0.00213623046875;4.8675537109375E-05;0.0026580810546875;1;2;0.113661773065571;-0.100219930319581;100 µA
0.003204345703125;5.0628662109375E-05;0.00371704101562501;1;3;0.113661773065571;-0.100219930319581;100 µA
0.0042724609375;5.279541015625E-05;0.00481262207031249;1;4;0.113661773065571;-0.100219930319581;100 µA
0.005340576171875;5.5023193359375E-05;0.0058929443359375;1;5;0.113661773065571;-0.100219930319581;100 µA
0.00640869140625;5.633544921875E-05;0.0069580078125;1;6;0.113661773065571;-0.100219930319581;100 µA
0.007476806640625;5.810546875E-05;0.0080230712890625;1;7;0.113661773065571;-0.100219930319581;100 µA
0.008544921875;6.0821533203125E-05;0.0090972900390625;1;8;0.113661773065571;-0.100219930319581;100 µA
0.009613037109375;6.2347412109375E-05;0.01016845703125;1;9;0.113661773065571;-0.100219930319581;100 µA
0.01068115234375;6.3873291015625E-05;0.0112762451171875;1;10;0.113661773065571;-0.100219930319581;100 µA
0.011749267578125;6.50634765625E-05;0.0123291015625;1;11;0.113661773065571;-0.100219930319581;100 µA
0.0128173828125;6.658935546875E-05;0.01341552734375;1;12;0.113661773065571;-0.100219930319581;100 µA
0.013885498046875;6.7962646484375E-05;0.0144683837890625;1;13;0.113661773065571;-0.100219930319581;100 µA
0.01495361328125;6.92138671875E-05;0.015496826171875;1;14;0.113661773065571;-0.100219930319581;100 µA
0.016021728515625;7.0709228515625E-05;0.01658935546875;1;15;0.113661773065571;-0.100219930319581;100 µA
0.01708984375;7.16552734375E-05;0.017657470703125;1;16;0.113661773065571;-0.100219930319581;100 µA
0.018157958984375;7.354736328125E-05;0.0187530517578125;1;17;0.113661773065571;-0.100219930319581;100 µA
0.01922607421875;7.4920654296875E-05;0.0197906494140625;1;18;0.113661773065571;-0.100219930319581;100 µA
0.020294189453125;7.6263427734375E-05;0.0208648681640625;1;19;0.113661773065571;-0.100219930319581;100 µA
0.0213623046875;7.781982421875E-05;0.02196044921875;1;20;0.113661773065571;-0.100219930319581;100 µA
0.022430419921875;7.916259765625E-05;0.0230133056640625;1;21;0.113661773065571;-0.100219930319581;100 µA
0.02349853515625;8.0078125E-05;0.024090576171875;1;22;0.113661773065571;-0.100219930319581;100 µA
0.024566650390625;8.16650390625E-05;0.0251739501953125;1;23;0.113661773065571;-0.100219930319581;100 µA
0.025634765625;8.343505859375E-05;0.0262420654296875;1;24;0.113661773065571;-0.100219930319581;100 µA
0.026702880859375;8.4686279296875E-05;0.0272918701171875;1;25;0.113661773065571;-0.100219930319581;100 µA
0.02777099609375;8.5906982421875E-05;0.0283355712890625;1;26;0.113661773065571;-0.100219930319581;100 µA
0.028839111328125;8.7554931640625E-05;0.0293853759765625;1;27;0.113661773065571;-0.100219930319581;100 µA
0.0299072265625;8.966064453125E-05;0.03048095703125;1;28;0.113661773065571;-0.100219930319581;100 µA
0.030975341796875;9.0606689453125E-05;0.03160400390625;1;29;0.113661773065571;-0.100219930319581;100 µA
0.03204345703125;9.1552734375E-05;0.0326324462890625;1;30;0.113661773065571;-0.100219930319581;100 µA
0.033111572265625;9.3231201171875E-05;0.0336944580078125;1;31;0.113661773065571;-0.100219930319581;100 µA
0.0341796875;9.423828125E-05;0.034796142578125;1;32;0.113661773065571;-0.100219930319581;100 µA
0.035247802734375;9.5489501953125E-05;0.0358154296875;1;33;0.113661773065571;-0.100219930319581;100 µA
0.03631591796875;9.7412109375E-05;0.036944580078125;1;34;0.113661773065571;-0.100219930319581;100 µA
0.037384033203125;9.9273681640625E-05;0.037982177734375;1;35;0.113661773065571;-0.100219930319581;100 µA
0.0384521484375;0.000100677490234375;0.039056396484375;1;36;0.113661773065571;-0.100219930319581;100 µA
0.039520263671875;0.000101806640625;0.0401336669921875;1;37;0.113661773065571;-0.100219930319581;100 µA
0.04058837890625;0.000102996826171875;0.0412017822265625;1;38;0.113661773065571;-0.100219930319581;100 µA
0.041656494140625;0.0001053466796875;0.0422576904296875;1;39;0.113661773065571;-0.100219930319581;100 µA
0.042724609375;0.00010601806640625;0.0433074951171875;1;40;0.113661773065571;-0.100219930319581;100 µA
0.043792724609375;0.00010736083984375;0.044378662109375;1;41;0.113661773065571;-0.100219930319581;100 µA
0.04486083984375;0.00010870361328125;0.0454620361328125;1;42;0.113661773065571;-0.100219930319581;100 µA
0.045928955078125;0.000110076904296875;0.04652099609375;1;43;0.113661773065571;-0.100219930319581;100 µA
0.0469970703125;0.000111602783203125;0.0476165771484375;1;44;0.113661773065571;-0.100219930319581;100 µA
0.048065185546875;0.00011328125;0.0486663818359375;1;45;0.113661773065571;-0.100219930319581;100 µA
0.04913330078125;0.00011474609375;0.049835205078125;1;46;0.113661773065571;-0.100219930319581;100 µA
0.050201416015625;0.000115753173828125;0.050994873046875;1;47;0.113661773065571;-0.100219930319581;100 µA
0.05126953125;0.000117156982421875;0.051971435546875;1;48;0.113661773065571;-0.100219930319581;100 µA
0.052337646484375;0.00011871337890625;0.05303955078125;1;49;0.113661773065571;-0.100219930319581;100 µA
0.05340576171875;0.00011993408203125;0.0540771484375;1;50;0.113661773065571;-0.100219930319581;100 µA
0.054473876953125;0.000120758056640625;0.055145263671875;1;51;0.113661773065571;-0.100219930319581;100 µA
0.0555419921875;0.0001219482421875;0.0562744140625;1;52;0.113661773065571;-0.100219930319581;100 µA
